id,x,y,dx,dy
E07000085,812.5,1380,-210,-486
E07000216,877.5,1410,-210,-486
E07000226,910,1410,-210,-486
E07000228,942.5,1410,-210,-486
E07000116,1007.5000000000001,1380,-210,-486
E07000112,1040,1380,-210,-486
E07000043,520,1410,-210,-486
E07000190,585,1410,-210,-486
E07000189,617.5,1410,-210.5,-486
E06000045,780,1410,-210.5,-486
E07000086,747.4999999999999,1380,-210,-486
E07000094,780,1380,-210.5,-486
E07000225,845,1410,-210,-486
E07000227,812.5,1440,-210,-486
E07000063,942.5,1440,-210,-486
E07000065,975,1410,-210,-486
E07000064,1007.5000000000001,1410,-210,-486
E07000062,1007.5000000000001,1440,-210,-486
E07000046,487.5,1440,-210,-486
E07000042,552.5,1410,-210,-486
E07000052,650,1410,-210,-486
E07000050,682.5,1410,-210,-486
E07000049,715.0000000000001,1410,-210,-486
E07000091,747.4999999999999,1410,-210,-486
E07000087,682.5,1440,-210,-486
E07000088,715.0000000000001,1440,-210,-486
E06000044,747.4999999999999,1440,-210,-486
E07000090,812.5,1410,-210,-486
E07000224,780,1440,-210.5,-486
E07000229,845,1440,-210,-486
E07000223,877.5,1440,-210,-486
E06000043,910,1440,-210,-486
E07000061,975,1440,-210,-486
E07000047,520,1440,-210,-486
E07000041,585,1440,-210,-486
E07000040,617.5,1440,-210.5,-486
E07000051,650,1440,-210,-486
E06000029,682.5,1470,-210,-486
E06000028,715.0000000000001,1470,-210,-486
E07000048,747.4999999999999,1470,-210,-486
E06000046,812.5,1470,-210,-486
E07000045,552.5,1440,-210,-486
E07000053,650,1470,-210,-486
E06000052,455,1470,-210,-486
E06000026,487.5,1470,-210,-486
E07000044,520,1470,-210,-486
E06000027,552.5,1470,-210,-486
E06000053,390,1500,-210,-486
