id,x,y
E07000094,15,30
E07000225,17,31
E07000227,16,32
E07000063,20,32
E07000065,21,31
E07000064,22,31
E07000062,22,32
E07000046,6,32
E07000042,8,31
E07000052,11,31
E07000050,12,31
E07000049,13,31
E07000091,14,31
E07000087,12,32
E07000088,13,32
E06000044,14,32
E07000090,16,31
E07000224,15,32
E07000229,17,32
E07000223,18,32
E06000043,19,32
E07000061,21,32
E07000047,7,32
E07000041,9,32
E07000040,10,32
E07000051,11,32
E06000029,12,33
E06000028,13,33
E07000048,14,33
E06000046,16,33
E07000045,8,32
E07000053,11,33
E06000052,5,33
E06000026,6,33
E07000044,7,33
E06000027,8,33
E06000053,3,34
